hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
גני הדר,371,78,1,0,0,0,58,189.4402555,1980,31.8792591,34.8530401,מועצה אזורית גזר,ישוב
שעב,7469,51,23,0,0,0,68,null,4175,32.8931258,35.2232812,עיר,עיר
נחף,13717,318,25,0,0,0,72,null,1468,32.9350065,35.3167482,עיר,עיר
גבע כרמל,1205,120,1,0,0,0,50,606.9499838,13678,32.6636235,34.9549687,מועצה אזורית חוף הכרמל,ישוב
סג'ור,4481,346,12,0,0,0,72,null,461,32.9390008,35.3427176,עיר,עיר
נופך,631,60,1,0,0,0,52,353.7164474,6080,32.0435572,34.9207276,מועצה אזורית חבל מודיעין,ישוב
כסרה - סמיע,9223,624,47,0,0,0,71,3682,19983,32.9716817,35.295991,עיר,עיר
כפר רות,275,286,1,0,0,0,54,154.1553396,6080,31.9107467,35.0357676,מועצה אזורית חבל מודיעין,ישוב
כוכב יאיר,8977,95,33,0,0,0,60,5807,8479,32.220069,34.9952116,עיר,עיר
גבעת שפירא,423,37,1,0,0,0,61,234.4516556,3915,32.3578622,34.8762757,מועצה אזורית עמק חפר,ישוב
טירה,27802,61,99,0,0,0,60,14765,4461,32.2331504,34.9603285,עיר,עיר
טייבה,null,null,null,2,1,2,60,null,7410,32.2615389,34.9990376,עיר,עיר
חורשים,350,442,1,0,0,0,58,187.1750736,3346,32.1372148,34.9706974,מועצה אזורית דרום השרון,ישוב
יקנעם עילית,24617,153,139,0,0,0,65,10622,20154,32.6551822,35.0883266,עיר,עיר
פוריידיס,13722,50,57,0,0,0,52,null,3599,32.5982889,34.9534574,עיר,עיר
שושנת העמקים,489,19,1,0,0,0,62,271.0327683,3915,32.3543061,34.8567151,מועצה אזורית עמק חפר,ישוב
"בסמ""ה",10743,189,null,0,0,0,58,5058,0,32.5056954,35.1007061,עיר,עיר
